web_scraper_order,web_scraper_start_url,rent_raw,rooms_raw,area_raw,address_raw,description_raw,text_raw,walkingtime_raw,nearest_statioon_raw,rooms,rent,area
1763742793-856,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 3’225.– / Monat,2.5 Zimmer,72m²,"Akazienstr. 2, 8008 Zürich",Attikawohnung im Seefeld!,,,,2.5,3225.0,72.0
1763742793-857,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 3’536.– / Monat,3.5 Zimmer,88m²,"Seefeldstr. 96, 8008 Zürich",Moderne Wohnung im Seefeld mit Balkon!,,,,3.5,3536.0,88.0
1763742793-858,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 2’900.– / Monat,2.5 Zimmer,100m²,"Wilfriedstrasse 7, 8032 Zürich",,,,,2.5,2900.0,100.0
1763742793-859,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,3 min.,Station: Zypressenstrasse,,,
1763742793-860,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,-,,,,
1763742793-861,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,5 min.,Station: Museum Rietberg,,,
1763742793-862,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,3 min.,Station: Brunnenhof,,,
1763742793-863,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,5 min.,Station: Fröhlichstrasse,,,
1763742793-864,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,5 min.,Station: Fröhlichstrasse,,,
1763742793-865,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,5 min.,Station: Letzigrund,,,
1763742793-866,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,7 min.,Station: Winzerstrasse,,,
1763742793-867,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,5 min.,Station: Höschgasse,,,
1763742793-868,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,16 min.,Station: Spital Zollikerberg,,,
1763742793-869,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,4 min.,Station: Museum für Gestaltung,,,
1763742793-870,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,4 min.,Station: Museum für Gestaltung,,,
1763742793-871,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,2 min.,Station: Siemens,,,
1763742793-872,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,-,,,,
1763742793-873,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,-,,,,
1763742793-874,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,-,,,,
1763742793-875,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,3 min.,Station: Toblerplatz,,,
1763742793-876,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,3 min.,Station: Kreuzstrasse,,,
1763742793-877,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,2 min.,Station: Feldeggstrasse,,,
1763742793-878,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,,,,,,,2 min.,Station: Hottingerplatz,,,
1763742797-879,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 2’440.– / Monat,4.5 Zimmer,79m²,"Ferdinand Hodler-Strasse 24, 8049 Zürich","tolle Aussicht, nähe der ETH",,,,4.5,2440.0,79.0
1763742797-880,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 4’900.– / Monat,4.5 Zimmer,153m²,"Wehrlisteig 21, 8049 Zürich",Ihre Familie findet ihr neues Zuhause auf dem Hönggerberg!,"Diese moderne 4.5-Zimmer-Wohnung im Erdgeschoss überzeugt mit 153 m² Wohnfläche, lichtdurchfluteten Räumen und einer grossen Terrasse – ideal für Familien und Paare, die Wert auf Raum und Komfort legen.Highlights der Wohnung: • Offener Wohnbereich: Heller, weitläufiger Wohn- und Essbereich mit Parkettboden und direktem Zugang zur Terrasse. • Moderne Küche: Voll ausgestattete, offene Küche mit hochwertigen Einbaugeräten • Grosszügige Terrasse: Sonniger Aussenbereich mit Blick ins Grüne – ideal zum Entspannen oder für gemütliche Abende. • Komfortables Badezimmer: Geräumiges Bad mit Badewanne und WC. • Barrierefreiheit: Die Wohnung ist rollstuhlgängig und bequem per Lift erreichbar. Auch für Ihre Fahrzeuge haben wir einen Platz
1763742797-881,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc""",CHF 2’600.– / Monat,2 Zimmer,4.5,4900.0,153.0
1763742797-882,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 3’150.– / Monat,3 Zimmer,68m²,"Pfirsichstrasse 7, 8006 Zürich",Bijoux zwischen Central und Irchelpark,,,,3.0,3150.0,68.0
1763742797-883,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 3’045.– / Monat,2.5 Zimmer,72m²,"Eggbühlstrasse 1, 8050 Zürich",Ausblick über die Dächer von Zürich,,,,2.5,3045.0,72.0
1763742797-884,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 5’230.– / Monat,4.5 Zimmer,121m²,"Universitätstrasse 33, 8006 Zürich",Erstbezug Loft-Maisonette mit Cheminée auf 120 m2,,,,4.5,5230.0,121.0
1763742797-885,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 2’630.– / Monat,2.5 Zimmer,76m²,"Furttalstrasse 3, 8046 Zürich",Moderne Neubauwohnung B16 im Herzen von Zürich-Affoltern,"Diese stilvolle Wohnung ""B16"" vereint modernes Design mit energieeffizienter Bauweise. Sie liegt zentral in Zürich-Affoltern – Einkaufsmöglichkeiten, Restaurants und öffentliche Verkehrsmittel befinden sich in unmittelbarer Nähe.Highlights: • Nachhaltiger Minergie-Standard mit Photovoltaikanlage • Free-Cooling-System und 3-Stufen-Komfortlüftung für ein ideales Raumklima • Zentrale Lage mit guter ÖV-Anbindung • Bezug ab März 2026 Genießen Sie komfortables, urbanes Wohnen mit modernster Haustechnik und bester Lebensqualität.Weitere 2.5- und 3.5-Zimmer-Wohnungen finden Sie auch auf unserer Projektwebseite https://www.affinity-zuerich.ch/erstvermietung: • 2.5 Zimmer-Wohnung B1, 76 m2, EG, Netto MZ CHF 2'120, NK CHF 270 • 3.5 Zimmer-Wohnung B3, 83 m2, EG, Netto MZ CHF 2'560, NK CHF 290 • 3.5 Zimmer-Wohnung B8/18, 83 m2, 1./3. OG, Brutto MZ ab CHF 2'850 • 3.5 Zimmer-Wohnung B10/15, 92 m2, 1/2. OG, Brutto MZ ab CHF 2'940 • 2.5 Zimmer-Wohnung B21, 71 m2, Attika, Netto MZ 2'650, NK CHF 250 • 3.5 Zimmer-Wohnung B22, 87 m2, Attika, Netto MZ CHF 3'210, NK CHF 305 • 3.5 Zimmer-Wohnung B23, 88 m2, Attika, Netto MZ CHF 3'250, NK CHF 310 • 2.5 Zimmer-Wohnung B24, 78 m2, Attika, Netto MZ CHF 2'900, NK CHF 275 Besuchen Sie den virtuellen Wohnungsrundgang einer typähnlichen Wohnung im Haus A.",,,2.5,2630.0,76.0
1763742797-886,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 3’515.– / Monat,3.5 Zimmer,87m²,"Furttalstrasse 3, 8046 Zürich",Moderne Neubau Attikawohnung B22 im Herzen von Zürich-Affoltern,"Diese stilvolle Attikawohnung ""B22"" vereint modernes Design mit energieeffizienter Bauweise. Sie liegt zentral in Zürich-Affoltern – Einkaufsmöglichkeiten, Restaurants und öffentliche Verkehrsmittel befinden sich in unmittelbarer Nähe.Highlights: • Nachhaltiger Minergie-Standard mit Photovoltaikanlage • Free-Cooling-System und 3-Stufen-Komfortlüftung für ein ideales Raumklima • Zentrale Lage mit guter ÖV-Anbindung • Bezug ab März 2026 Genießen Sie komfortables, urbanes Wohnen mit modernster Haustechnik und bester Lebensqualität.Weitere 2.5- und 3.5-Zimmer-Wohnungen finden Sie auch auf unserer Projektwebseite https://www.affinity-zuerich.ch/erstvermietung: • 2.5 Zimmer-Wohnung B1, 76 m2, EG, Netto MZ CHF 2'120, NK CHF 270 • 3.5 Zimmer-Wohnung B3, 83 m2, EG, Netto MZ CHF 2'560, NK CHF 290 • 3.5 Zimmer-Wohnung B8/18, 83 m2, 2./3. OG, Brutto MZ ab CHF 2'850 • 3.5 Zimmer-Wohnung B10/15, 92 m2, 1./2. OG, Brutto MZ ab CHF 2'940 • 2.5 Zimmer-Wohnung B16, 76 m2, 3. OG, Netto MZ CHF 2'360, NK CHF 270 • 2.5 Zimmer-Wohnung B21, 71 m2, Attika, Netto MZ CHF 2'650, NK CHF 250 • 2.5 Zimmer-Wohnung B24, 78 m2, Attika, Netto MZ CHF 2'900, NK CHF 275 Besuchen Sie den virtuellen Wohnungsrundgang einer typähnlichen Wohnung im Haus A.",,,3.5,3515.0,87.0
1763742797-887,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 3’175.– / Monat,2.5 Zimmer,78m²,"Furttalstrasse 3, 8046 Zürich",Moderne Neubau Attikawohnung B24 im Herzen von Zürich-Affoltern,"Diese stilvolle Attikawohnung ""B24"" vereint modernes Design mit energieeffizienter Bauweise. Sie liegt zentral in Zürich-Affoltern – Einkaufsmöglichkeiten, Restaurants und öffentliche Verkehrsmittel befinden sich in unmittelbarer Nähe.Highlights: • Nachhaltiger Minergie-Standard mit Photovoltaikanlage • Free-Cooling-System und 3-Stufen-Komfortlüftung für ein ideales Raumklima • Zentrale Lage mit guter ÖV-Anbindung • Bezug ab März 2026 Genießen Sie komfortables, urbanes Wohnen mit modernster Haustechnik und bester Lebensqualität.Weitere 2.5- und 3.5-Zimmer-Wohnungen finden Sie auch auf unserer Projektwebseite https://www.affinity-zuerich.ch/erstvermietung: • 2.5 Zimmer-Wohnung B1, 76 m2, EG, Netto MZ CHF 2'120, NK CHF 270 • 3.5 Zimmer-Wohnung B3, 83 m2, EG, Netto MZ CHF 2'560, NK CHF 290 • 3.5 Zimmer-Wohnung B8/18, 83 m2, 1./3. OG, Brutto MZ ab CHF 2'850 • 3.5 Zimmer-Wohnung B10/15, 92 m2, 1/2. OG, Brutto MZ ab CHF 2'940 • 2.5 Zimmer-Wohnung B16, 76 m2, 3. OG, Netto MZ CHF 2'360, NK CHF 270 • 2.5 Zimmer-Wohnung B21, 71 m2, Attika, Netto MZ 2'650, NK 250 • 3.5 Zimmer-Wohnung B22, 87 m2, Attika, Netto MZ CHF 3'210, NK CHF 305 • 3.5 Zimmer-Wohnung B23, 88 m2, Attika, Netto MZ CHF 3'250, NK CHF 310 Besuchen Sie den virtuellen Wohnungsrundgang einer typähnlichen Wohnung im Haus A.",,,2.5,3175.0,78.0
1763742797-888,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 3’020.– / Monat,3.5 Zimmer,83m²,"Furttalstrasse 3, 8046 Zürich",Moderne Neubauwohnung B18 im Herzen von Zürich-Affoltern,"Diese stilvolle Wohnung ""B18"" vereint modernes Design mit energieeffizienter Bauweise. Sie liegt zentral in Zürich-Affoltern – Einkaufsmöglichkeiten, Restaurants und öffentliche Verkehrsmittel befinden sich in unmittelbarer Nähe.Highlights: • Nachhaltiger Minergie-Standard mit Photovoltaikanlage • Free-Cooling-System und 3-Stufen-Komfortlüftung für ein ideales Raumklima • Zentrale Lage mit guter ÖV-Anbindung • Bezug ab März 2026 Genießen Sie komfortables, urbanes Wohnen mit modernster Haustechnik und bester Lebensqualität.Weitere 2.5- und 3.5-Zimmer-Wohnungen finden Sie auch auf unserer Projektwebseite https://www.affinity-zuerich.ch/erstvermietung: • 2.5 Zimmer-Wohnung B1, 76 m2, EG, Netto MZ CHF 2'120, NK CHF 270 • 3.5 Zimmer-Wohnung B3, 83 m2, EG, Netto MZ CHF 2'560, NK CHF 290 • 3.5 Zimmer-Wohnung B8, 83 m2, 1. OG, Netto MZ CHF 2'560, NK CHF 290 • 3.5 Zimmer-Wohnung B10/15, 92 m2, 1./2. OG, Brutto MZ ab CHF 2'940 • 2.5 Zimmer-Wohnung B16, 76 m2, 3. OG, Netto MZ CHF 2'360, NK CHF 270 • 2.5 Zimmer-Wohnung B21, 71 m2, Attika, Netto MZ CHF 2'650, NK CHF 250 • 3.5 Zimmer-Wohnung B22, 87 m2, Attika, Netto MZ CHF 3'210, NK CHF 305 • 3.5 Zimmer-Wohnung B23, 88 m2, Attika, Netto MZ CHF 3'250, NK CHF 310 • 2.5 Zimmer-Wohnung B24, 78 m2, Attika, Netto MZ CHF 2'900, NK CHF 275 Besuchen Sie den virtuellen Wohnungsrundgang einer typähnlichen Wohnung im Haus A.",,,3.5,3020.0,83.0
1763742797-892,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 6’900.– / Monat,7 Zimmer,230m²,"Haumesserstrasse 17, 8038 Zürich","Einzigartiger Hausteil mit 7 Zimmern, Atelier, Garten, Cheminee und Sauna","Entdecken Sie diese aussergewöhnliche 7-Zimmer-Maisonette-Wohnung mit grosszügigen 230 m² Wohnfläche in der begehrten Lage von Zürich Wollishofen. Das charmante Gebäude aus dem Jahr 1986 wurde laufend renoviert und präsentiert sich heute in modernem Glanz mit charakteristischen blauen Fensterläden und liebevoll gepflegten Grünanlagen.Die Wohnung besticht durch: • Grosszügiger Wohnbereich: Ein offener, lichtdurchfluteter Raum • Moderne Küche: Stilvolle Küche mit viel Platz für Sitzflächen - perfekt für gesellige Abende • Maisonette-Charakter: Die Wohnung erstreckt sich über mehrere Ebenen und bietet dadurch ein einzigartiges Wohngefühl • Privater Garten: Für entspannte Stunden im Freien - mit Apfelbaum und Traubenpergola • Helles Atelier (56 m²) im Untergeschoss – ideal als Büro, Studio oder Hobbyraum • Drei Bäder – Komfort für Familie oder Gäste • Private Sauna – für entspannte Stunden zu Hause • Zwei charmante Cheminee – für gemütliche Abende • Kinderfreundlich: Ideal für Familien mit Kindern • Überall edle schwarze Schieferplatten – zeitlos, elegant und pflegeleicht • Haustierfreundlich: Ihre vierbeinigen Familienmitglieder sind herzlich willkommen Traumhafte Lage: Die Liegenschaft liegt ruhig und dennoch zentral an einer verkehrsberuhigten, familienfreundlichen Wohnstrasse. Der Wollishoferplatz mit Tram- und Busverbindungen ist nur 4 Gehminuten entfernt, der Bahnhof Zürich Wollishofen erreichen Sie in weniger als 5 Minuten zu Fuss. Ein Coop-Supermarkt liegt praktisch vor der Haustür (4 Minuten), und für Familien ist die Schule Im Lee nur 7 Gehminuten entfernt. Die Nähe zum Zürichsee und die sonnige Lage machen diese Wohnung zu einem wahren Juwel.Einstellplätze in der Tiefgarage der Nachbarliegenschaft können für Fr. 150 pro Monat dazugemietet werden. Die monatlichen Akontozahlungen für die Nebenkosten betragen Fr. 250.Diese einzigartige Maisonette-Wohnung bietet Ihnen das perfekte Zuhause für anspruchsvolles Wohnen in einer der attraktivsten Lagen Zürichs - ideal für Familien oder alle, die Raum und Komfort zu schätzen wissen.Haben wir Interesse geweckt? Dann schicken Sie uns bitte das ausgefüllte Anmeldeformular an info@ha-lie.ch. Wir werden Sie darauffolgend gerne für die Vereinbarung eines Besichtigungstermins kontaktieren.",,,7.0,6900.0,230.0
1763742797-893,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 2’899.– / Monat,2.5 Zimmer,64m²,"Kilchbergstrasse 125, 8038 Zürich","2,5-Zimmer-Neubauwohnung mit seitlichem Seeblick",,,,2.5,2899.0,64.0
1763742797-894,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 2’100.– / Monat,3 Zimmer,70m²,"Wehntalerstrasse 296, 8046 Zürich",,,,,3.0,2100.0,70.0
1763742797-898,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,CHF 1’650.– / Monat,1.5 Zimmer,40m²,"Klosbachstrasse 10, 8032 Zürich",,,,,1.5,1650.0,40.0
1763742797-899,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,5 min.,Station: Meierhofplatz,,,
1763742797-900,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,8 min.,Station: Alte Trotte,,,
1763742797-901,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,2 min.,Station: Hirschwiesenstrasse,,,
1763742797-902,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,3 min.,Station: Kronenstrasse,,,
1763742797-903,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,5 min.,Station: Felsenrainstrasse,,,
1763742797-904,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,2 min.,Station: Haldenbach,,,
1763742797-905,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,10 min.,Station: Zürich Affoltern,,,
1763742797-906,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,10 min.,Station: Zürich Affoltern,,,
1763742797-907,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,10 min.,Station: Zürich Affoltern,,,
1763742797-908,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,10 min.,Station: Zürich Affoltern,,,
1763742797-909,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,10 min.,Station: Heerenwiesen,,,
1763742797-910,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,10 min.,Station: Heerenwiesen,,,
1763742797-911,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,1 min.,Station: Wetlistrasse,,,
1763742797-912,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=28&o=dateCreated-desc,,,,,,,3 min.,Station: Morgental,,,
